correct bias,correct coupling 0, time bias, time coupling 0,time variance, exercise name
-0.002032582377548496,0.05170577225157427,0.0,0.0,1.0,slope_intercept_form
0.025507480329443177,0.03270187712141126,0.0,0.0,1.0,graphing-proportional-relationships
0.026121733384577805,0.016935794942657192,0.0,0.0,1.0,constructions_1
0.06606414765108014,0.14790443083271643,0.0,0.0,1.0,vertical_angles_2
0.2159572579555661,-0.02133797023987278,0.0,0.0,1.0,coordinate-plane-word-problems
0.2864874239792452,-0.15800738088260793,0.0,0.0,1.0,visualizing-and-interpreting-relationships-between-patterns
0.322422610878871,0.05111868029819727,0.0,0.0,1.0,volume_1
0.35129918470303034,0.012295457821720113,0.0,0.0,1.0,identifying_points_1
0.35898492275321014,0.0590205264198495,0.0,0.0,1.0,understanding-multiplying-fractions-and-whole-numbers
0.6394748125397223,0.3104038938766604,0.0,0.0,1.0,addition_1
